Latitude,Longitude,Postal Code,StateID,Address
42.0119,-87.768,60714,IL,5618 W Touhy Ave
41.8746,-88.34,60134,IL,1492 S Randall Rd Ste K
40.7463,-89.632,61615,IL,4819 N Rockwood Dr
41.7178,-87.74,60453,IL,9625 S Cicero Ave
42.1119,-87.979,60004,IL,202 E Rand Rd
41.9535,-87.807,60706,IL,7227 W Forest Preserve Dr
41.5961,-87.558,60409,IL,1374 Torrence Ave
41.8919,-87.624,60611,IL,535 N Michigan Ave
40.4821,-88.952,61704,IL,305 N Veterans Pkwy Ste 106
41.5046,-87.723,60443,IL,146 Lincoln Mall Dr Ste B
41.8499,-87.956,60523,IL,103 Oakbrook Ctr
41.96,-87.754,60641,IL,4360 N Milwaukee Ave
41.8462,-87.975,60181,IL,17W440 22nd St
42.2678,-88.994,61107,IL,6250 Mulford Village Dr
41.6195,-87.853,60462,IL,14900 S La Grange Rd
42.0513,-87.995,60008,IL,1219 Golf Rd
