,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition
3,4.0,3.0,0.0,1.0,BAL,Blocked Punt,-41.0,"4,3",84.0
1,1.0,10.0,1.0,1.0,BAL,Missed FG,-31.0,"1,10",81.0
2,1.0,10.0,1.0,1.0,BAL,Missed FG,-31.0,"1,10",71.0
3,2.0,6.0,1.0,1.0,BAL,Missed FG,-31.0,"2,6",67.0
4,3.0,5.0,1.0,1.0,BAL,Missed FG,-31.0,"3,5",66.0
5,3.0,10.0,1.0,1.0,BAL,Missed FG,-31.0,"3,10",71.0
6,1.0,10.0,1.0,1.0,BAL,Missed FG,-31.0,"1,10",54.0
7,2.0,5.0,1.0,1.0,BAL,Missed FG,-31.0,"2,5",49.0
8,1.0,10.0,1.0,1.0,BAL,Missed FG,-31.0,"1,10",41.0
9,2.0,14.0,1.0,1.0,BAL,Missed FG,-31.0,"2,14",45.0
10,3.0,14.0,1.0,1.0,BAL,Missed FG,-31.0,"3,14",45.0
